largo_rectangulo,Intento,puntos,lecturas,arbol
0.050000,19,41908,304,arboles/arbol_random_str_24.bin
0.050000,20,41959,309,arboles/arbol_random_str_24.bin
0.050000,21,41728,293,arboles/arbol_random_str_24.bin
0.050000,22,42381,319,arboles/arbol_random_str_24.bin
0.050000,23,41773,308,arboles/arbol_random_str_24.bin
0.050000,24,41653,287,arboles/arbol_random_str_24.bin
0.050000,25,41681,317,arboles/arbol_random_str_24.bin
0.050000,26,42420,313,arboles/arbol_random_str_24.bin
0.050000,27,42468,324,arboles/arbol_random_str_24.bin
0.050000,28,41918,269,arboles/arbol_random_str_24.bin
0.050000,29,41807,285,arboles/arbol_random_str_24.bin
0.050000,30,41743,292,arboles/arbol_random_str_24.bin
0.050000,31,42310,321,arboles/arbol_random_str_24.bin
0.050000,32,42315,322,arboles/arbol_random_str_24.bin
0.050000,33,42027,320,arboles/arbol_random_str_24.bin
0.050000,34,41849,292,arboles/arbol_random_str_24.bin
0.050000,35,42106,284,arboles/arbol_random_str_24.bin
0.050000,36,41961,300,arboles/arbol_random_str_24.bin
0.050000,37,42057,284,arboles/arbol_random_str_24.bin
0.050000,38,42147,299,arboles/arbol_random_str_24.bin
0.050000,39,41791,295,arboles/arbol_random_str_24.bin
0.050000,40,42069,307,arboles/arbol_random_str_24.bin
0.050000,41,41925,303,arboles/arbol_random_str_24.bin
0.050000,42,42250,305,arboles/arbol_random_str_24.bin
0.050000,43,42273,326,arboles/arbol_random_str_24.bin
0.050000,44,41460,260,arboles/arbol_random_str_24.bin
0.050000,45,42242,320,arboles/arbol_random_str_24.bin
0.050000,46,41765,294,arboles/arbol_random_str_24.bin
0.050000,47,41621,292,arboles/arbol_random_str_24.bin
0.050000,48,41707,306,arboles/arbol_random_str_24.bin
0.050000,49,41912,309,arboles/arbol_random_str_24.bin
0.050000,50,42194,280,arboles/arbol_random_str_24.bin
0.050000,51,41489,281,arboles/arbol_random_str_24.bin
0.050000,52,42031,308,arboles/arbol_random_str_24.bin
0.050000,53,42004,288,arboles/arbol_random_str_24.bin
0.050000,54,42054,309,arboles/arbol_random_str_24.bin
0.050000,55,41998,293,arboles/arbol_random_str_24.bin
0.050000,56,41957,305,arboles/arbol_random_str_24.bin
0.050000,57,42000,306,arboles/arbol_random_str_24.bin
0.050000,58,42165,321,arboles/arbol_random_str_24.bin
0.050000,59,41824,318,arboles/arbol_random_str_24.bin
0.050000,60,41612,301,arboles/arbol_random_str_24.bin
0.050000,61,41729,308,arboles/arbol_random_str_24.bin
0.050000,62,41932,280,arboles/arbol_random_str_24.bin
0.050000,63,42211,309,arboles/arbol_random_str_24.bin
0.050000,64,41903,308,arboles/arbol_random_str_24.bin
0.050000,65,42126,278,arboles/arbol_random_str_24.bin
0.050000,66,41539,308,arboles/arbol_random_str_24.bin
0.050000,67,41602,303,arboles/arbol_random_str_24.bin
0.050000,68,41809,309,arboles/arbol_random_str_24.bin
0.050000,69,41829,279,arboles/arbol_random_str_24.bin
0.050000,70,41749,323,arboles/arbol_random_str_24.bin
0.050000,71,41843,273,arboles/arbol_random_str_24.bin
0.050000,72,42075,311,arboles/arbol_random_str_24.bin
0.050000,73,42018,297,arboles/arbol_random_str_24.bin
0.050000,74,41731,298,arboles/arbol_random_str_24.bin
0.050000,75,41574,262,arboles/arbol_random_str_24.bin
0.050000,76,41773,294,arboles/arbol_random_str_24.bin
0.050000,77,42217,309,arboles/arbol_random_str_24.bin
0.050000,78,42158,290,arboles/arbol_random_str_24.bin
0.050000,79,41713,308,arboles/arbol_random_str_24.bin
0.050000,80,41381,294,arboles/arbol_random_str_24.bin
0.050000,81,42181,283,arboles/arbol_random_str_24.bin
0.050000,82,42089,299,arboles/arbol_random_str_24.bin
0.050000,83,41810,287,arboles/arbol_random_str_24.bin
0.050000,84,41907,306,arboles/arbol_random_str_24.bin
0.050000,85,41968,311,arboles/arbol_random_str_24.bin
